target,R2,RMSE,MAE,n_points
_SM10,0.7649215459823608,2.2068174545576893,1.6597883701324463,2238
_SM20,0.8115469813346863,2.102539969664226,1.587968349456787,2238
_SM30,0.6218146085739136,2.447852622202156,1.7809453010559082,2238
_SM45,0.7852839231491089,2.5196275796144185,1.7725708484649658,2238
_SM60,0.8808882236480713,2.0172264184011928,1.5506129264831543,2238
_SM75,0.8363845944404602,2.050661268811672,1.5994765758514404,2238
