station,base_date,forecast_date,step_ahead_days,_SM10,_SM20,_SM30,_SM45,_SM60,_SM75
csengele,2025-09-01 02:00:00,2025-09-02 02:00:00,1,1.9600495100021362,4.239926338195801,2.463886260986328,1.9822570085525513,3.458472967147827,2.0253067016601562
csengele,2025-09-01 02:00:00,2025-09-03 02:00:00,2,1.9600495100021362,4.239926338195801,2.463886260986328,1.9822570085525513,3.458472967147827,2.0253067016601562
csengele,2025-09-01 02:00:00,2025-09-04 02:00:00,3,1.9600495100021362,4.239926338195801,2.463886260986328,1.9822570085525513,3.458472967147827,2.0253067016601562
csengele,2025-09-01 02:00:00,2025-09-05 02:00:00,4,1.9600495100021362,4.239926338195801,2.463886260986328,1.9822570085525513,3.458472967147827,2.0253067016601562
csengele,2025-09-01 02:00:00,2025-09-06 02:00:00,5,1.9600495100021362,4.239926338195801,2.463886260986328,1.9822570085525513,3.458472967147827,2.0253067016601562
csengele,2025-09-01 02:00:00,2025-09-07 02:00:00,6,1.9600495100021362,4.239926338195801,2.463886260986328,1.9822570085525513,3.458472967147827,2.0253067016601562
csengele,2025-09-01 02:00:00,2025-09-08 02:00:00,7,1.9600495100021362,4.239926338195801,2.463886260986328,1.9822570085525513,3.458472967147827,2.0253067016601562
csolyospalos,2025-09-01 02:00:00,2025-09-02 02:00:00,1,2.0511038303375244,3.225729465484619,2.2233896255493164,1.4038136005401611,2.860527992248535,1.5734761953353882
csolyospalos,2025-09-01 02:00:00,2025-09-03 02:00:00,2,2.0511038303375244,3.225729465484619,2.2233896255493164,1.4038136005401611,2.860527992248535,1.5734761953353882
csolyospalos,2025-09-01 02:00:00,2025-09-04 02:00:00,3,2.0511038303375244,3.225729465484619,2.2233896255493164,1.4038136005401611,2.860527992248535,1.5734761953353882
csolyospalos,2025-09-01 02:00:00,2025-09-05 02:00:00,4,2.0511038303375244,3.225729465484619,2.2233896255493164,1.4038136005401611,2.860527992248535,1.5734761953353882
csolyospalos,2025-09-01 02:00:00,2025-09-06 02:00:00,5,2.0511038303375244,3.225729465484619,2.2233896255493164,1.4038136005401611,2.860527992248535,1.5734761953353882
csolyospalos,2025-09-01 02:00:00,2025-09-07 02:00:00,6,2.0511038303375244,3.225729465484619,2.2233896255493164,1.4038136005401611,2.860527992248535,1.5734761953353882
csolyospalos,2025-09-01 02:00:00,2025-09-08 02:00:00,7,2.0511038303375244,3.225729465484619,2.2233896255493164,1.4038136005401611,2.860527992248535,1.5734761953353882
csongrad,2025-07-28 02:00:00,2025-07-29 02:00:00,1,1.949780821800232,4.04387903213501,2.747321367263794,1.6773850917816162,3.849353790283203,1.7121384143829346
csongrad,2025-07-28 02:00:00,2025-07-30 02:00:00,2,1.949780821800232,4.04387903213501,2.747321367263794,1.6773850917816162,3.849353790283203,1.7121384143829346
csongrad,2025-07-28 02:00:00,2025-07-31 02:00:00,3,1.949780821800232,4.04387903213501,2.747321367263794,1.6773850917816162,3.849353790283203,1.7121384143829346
csongrad,2025-07-28 02:00:00,2025-08-01 02:00:00,4,1.949780821800232,4.04387903213501,2.747321367263794,1.6773850917816162,3.849353790283203,1.7121384143829346
