station,target_date
csengele,2020-09-10 02:00:00
csengele,2020-09-11 02:00:00
csengele,2020-09-12 02:00:00
csengele,2020-10-01 02:00:00
csengele,2020-10-02 02:00:00
csengele,2020-10-03 02:00:00
csengele,2020-10-04 02:00:00
csengele,2020-10-05 02:00:00
csengele,2020-10-06 02:00:00
csengele,2020-10-07 02:00:00
csengele,2020-10-08 02:00:00
csengele,2020-10-09 02:00:00
csengele,2020-10-10 02:00:00
csengele,2020-10-11 02:00:00
csengele,2020-10-12 02:00:00
csengele,2020-11-01 01:00:00
csengele,2020-11-02 01:00:00
csengele,2020-11-03 01:00:00
csengele,2020-11-04 01:00:00
csengele,2020-11-05 01:00:00
csengele,2020-11-06 01:00:00
csengele,2020-11-07 01:00:00
csengele,2020-11-08 01:00:00
csengele,2020-11-09 01:00:00
csengele,2020-11-10 01:00:00
csengele,2020-11-11 01:00:00
csengele,2020-11-12 01:00:00
csengele,2020-12-01 01:00:00
csengele,2020-12-02 01:00:00
csengele,2020-12-03 01:00:00
csengele,2020-12-04 01:00:00
csengele,2020-12-05 01:00:00
csengele,2020-12-06 01:00:00
csengele,2020-12-07 01:00:00
csengele,2020-12-08 01:00:00
csengele,2020-12-09 01:00:00
csengele,2020-12-10 01:00:00
csengele,2020-12-11 01:00:00
csengele,2020-12-12 01:00:00
csengele,2021-01-01 01:00:00
csengele,2021-01-02 01:00:00
csengele,2021-01-03 01:00:00
csengele,2021-01-04 01:00:00
csengele,2021-01-05 01:00:00
csengele,2021-01-06 01:00:00
csengele,2021-01-07 01:00:00
csengele,2021-01-08 01:00:00
csengele,2021-01-09 01:00:00
csengele,2021-01-10 01:00:00
csengele,2021-01-11 01:00:00
csengele,2021-01-12 01:00:00
csengele,2021-02-01 01:00:00
csengele,2021-02-02 01:00:00
csengele,2021-02-03 01:00:00
csengele,2021-02-04 01:00:00
csengele,2021-02-05 01:00:00
csengele,2021-02-06 01:00:00
csengele,2021-02-07 01:00:00
csengele,2021-02-08 01:00:00
csengele,2021-02-09 01:00:00
csengele,2021-02-10 01:00:00
csengele,2021-02-11 01:00:00
csengele,2021-02-12 01:00:00
csengele,2021-03-01 01:00:00
csengele,2021-03-02 01:00:00
csengele,2021-03-03 01:00:00
csengele,2021-03-04 01:00:00
csengele,2021-03-05 01:00:00
csengele,2021-03-06 01:00:00
csengele,2021-03-07 01:00:00
csengele,2021-03-08 01:00:00
csengele,2021-03-09 01:00:00
csengele,2021-03-10 01:00:00
csengele,2021-03-11 01:00:00
csengele,2021-03-12 01:00:00
csengele,2021-04-01 02:00:00
csengele,2021-04-02 02:00:00
csengele,2021-04-03 02:00:00
csengele,2021-04-04 02:00:00
csengele,2021-04-05 02:00:00
csengele,2021-04-06 02:00:00
csengele,2021-04-07 02:00:00
csengele,2021-04-08 02:00:00
csengele,2021-04-09 02:00:00
csengele,2021-04-10 02:00:00
csengele,2021-04-11 02:00:00
csengele,2021-04-12 02:00:00
csengele,2021-05-01 02:00:00
csengele,2021-05-02 02:00:00
csengele,2021-05-03 02:00:00
csengele,2021-05-04 02:00:00
csengele,2021-05-05 02:00:00
csengele,2021-05-06 02:00:00
