season,target,MAE,RMSE,R2
DJF,_SM10,1.4518446922302246,1.8942536115646362,0.7500183080135474
DJF,_SM20,1.303399682044983,1.7203915119171143,0.8279417424630315
DJF,_SM30,1.501415729522705,2.015603542327881,0.6015232395869848
DJF,_SM45,1.7835218906402588,2.522780179977417,0.7600547371596825
DJF,_SM60,1.6202725172042847,2.146984577178955,0.8389054582867121
DJF,_SM75,1.6472939252853394,2.0839555263519287,0.7974238446194328
MAM,_SM10,1.6089589595794678,2.07405161857605,0.7285590097426171
MAM,_SM20,1.4463995695114136,1.9239364862442017,0.8079943333918966
MAM,_SM30,1.5626095533370972,2.342862844467163,0.5999500116490759
MAM,_SM45,1.8466293811798096,2.579263687133789,0.7534824822791492
MAM,_SM60,1.532225251197815,1.9847407341003418,0.8737389897127623
MAM,_SM75,1.4936883449554443,1.893272042274475,0.8531023179165671
JJA,_SM10,1.6155370473861694,2.15864896774292,0.6217603850204869
JJA,_SM20,1.7214462757110596,2.281564474105835,0.5293764433898247
JJA,_SM30,1.7146472930908203,2.5189576148986816,0.03725409573475924
JJA,_SM45,1.890973448753357,2.5122883319854736,0.6927160991895076
JJA,_SM60,1.4784826040267944,1.8736733198165894,0.8876399085020026
JJA,_SM75,1.2223566770553589,1.6193742752075195,0.869203191761104
SON,_SM10,2.046985387802124,2.6752219200134277,0.6943067390615678
SON,_SM20,1.6355690956115723,2.4170420169830322,0.7333834026695203
SON,_SM30,1.6454789638519287,2.2463274002075195,0.614682922086802
SON,_SM45,1.8939423561096191,2.5943171977996826,0.7478331406944958
SON,_SM60,1.5535694360733032,2.0447380542755127,0.8603001722298147
SON,_SM75,1.673213243484497,2.1421689987182617,0.7861454055046522
